	feature	event	locus	locus_overlap	symbol	gene_coordinates	start	end	length	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
GENE01:E001	E	external	GENE01	-	GENE01	reference:1-700	1	300	300	189	199	182	178	190	213
GENE01:E003	E	external	GENE01	-	GENE01	reference:1-700	501	700	200	129	131	137	112	137	131
GENE02:E001	E	external	GENE02	-	GENE02	reference:1001-1800	1001	1250	250	197	206	194	221	230	236
GENE02:E002	E	ES	GENE02	-	GENE02	reference:1001-1800	1301	1400	100	107	113	119	20	23	24
GENE02:E003	E	external	GENE02	-	GENE02	reference:1001-1800	1601	1800	200	157	153	167	184	179	184
GENE03:E001	E	external	GENE03	-	GENE03	reference:2001-2800	2001	2250	250	175	174	177	140	136	180
GENE03:E002	E	Alt5ss	GENE03	-	GENE03	reference:2001-2800	2251	2350	100	20	16	16	73	74	81
GENE03:E003	E	external	GENE03	-	GENE03	reference:2001-2800	2501	2800	300	236	200	219	231	199	196
GENE04:E001	E	external	GENE04	-	GENE04	reference:3001-3800	3001	3250	250	164	167	168	153	188	178
GENE04:E002	E	Alt3ss	GENE04	-	GENE04	reference:3001-3800	3401	3500	100	103	104	116	60	60	53
GENE04:E003	E	external	GENE04	-	GENE04	reference:3001-3800	3501	3800	300	166	185	196	209	187	200
GENE05:E001	E	external	GENE05	-	GENE05	reference:4001-4800	4001	4250	250	182	200	185	190	175	177
GENE05:E002	E	Alt5ss	GENE05	-	GENE05	reference:4001-4800	4251	4350	100	60	68	73	23	19	23
GENE05:E003	E	Alt3ss	GENE05	-	GENE05	reference:4001-4800	4501	4600	100	78	98	77	123	116	124
GENE05:E004	E	external	GENE05	-	GENE05	reference:4001-4800	4601	4800	200	121	162	147	156	137	165
GENE06:E001	E	external	GENE06	-	GENE06	reference:5001-5800	5001	5250	250	181	180	174	146	174	168
GENE06:E002	E	Alt5ss*	GENE06	-	GENE06	reference:5001-5800	5251	5350	100	123	119	119	85	106	102
GENE06:E003	E	Alt5ss*	GENE06	-	GENE06	reference:5001-5800	5351	5450	100	78	71	62	56	70	77
GENE06:E004	E	external	GENE06	-	GENE06	reference:5001-5800	5601	5800	200	142	115	134	170	146	153
GENE07:E001	E	external	GENE07	-	GENE07	reference:6001-6800	6001	6250	250	223	184	181	186	192	182
GENE07:E003	E	ES*	GENE07	-	GENE07	reference:6001-6800	6351	6450	100	102	90	99	99	108	120
GENE07:E004	E	external	GENE07	-	GENE07	reference:6001-6800	6601	6800	200	161	138	139	135	134	140
GENE08:E001	E	external	GENE08	-	GENE08	reference:7001-7800	7001	7250	250	165	156	176	158	157	158
GENE08:E003	E	Undefined AS	GENE08	-	GENE08	reference:7001-7800	7351	7450	100	91	98	86	118	103	107
GENE08:E005	E	external	GENE08	-	GENE08	reference:7001-7800	7601	7800	200	123	158	141	138	111	121
GENE09:E001	E	external	GENE09	-	GENE09	reference:8001-8800	8001	8250	250	109	135	112	126	125	131
GENE09:E003	E	-	GENE09	-	GENE09	reference:8001-8800	8351	8450	100	121	121	111	135	122	89
GENE09:E005	E	external	GENE09	-	GENE09	reference:8001-8800	8601	8800	200	99	120	112	126	114	85
GENE10:E001	E	external	GENE10	-	GENE10	reference:9001-9800	9001	9250	250	151	136	144	125	156	147
GENE10:E003	E	Alt3ss*	GENE10	-	GENE10	reference:9001-9800	9351	9450	100	84	82	83	61	64	54
GENE10:E004	E	external	GENE10	-	GENE10	reference:9001-9800	9451	9800	350	185	171	168	207	181	194
