	event	J1	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	J2	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	J3	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	C	D
GENE02:I001	-	GENE02:I001_E1I	0	0	0	0	0	0	GENE02:I001_IE2	0	0	0	0	0	0	reference.1250.1301	60	64	67	10	12	12	0	0
GENE02:I003	-	GENE02:I003_E1I	0	0	0	0	0	0	GENE02:I003_IE2	0	0	0	0	0	0	reference.1400.1601	47	49	51	10	11	12	0	0
GENE03:I002	-	GENE03:I002_E1I	0	0	0	0	0	0	GENE03:I002_IE2	0	0	0	0	0	0	reference.2350.2501	12	9	9	39	35	38	0	0
GENE04:I001	-	GENE04:I001_E1I	0	0	0	0	0	0	GENE04:I001_IE2	0	0	0	0	0	0	reference.3250.3401	54	55	60	31	38	29	0	0
GENE05:I002	-	GENE05:I002_E1I	0	0	0	0	0	0	GENE05:I002_IE2	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
GENE06:I003	-	GENE06:I003_E1I	0	0	0	0	0	0	GENE06:I003_IE2	0	0	0	0	0	0	reference.5450.5601	52	38	35	32	31	38	0	0
GENE07:I003	-	GENE07:I003_E1I	0	0	0	0	0	0	GENE07:I003_IE2	0	0	0	0	0	0	reference.6450.6601	48	48	49	45	52	62	0	0
GENE02:Io003	-	GENE02:Io003_E1I	0	0	0	0	0	0	GENE02:Io003_IE2	0	0	0	0	0	0	reference.1250.1601	27	26	22	76	71	87	0	0
GENE03:Io002	-	GENE03:Io002_E1I	7	6	5	26	32	33	GENE03:Io002_IE2	0	0	0	0	0	0	reference.2250.2501	69	53	59	27	23	33	0.0473684210526316	0.35408560311284
GENE04:Io002	-	GENE04:Io002_E1I	0	0	0	0	0	0	GENE04:Io002_IE2	41	38	45	24	20	18	reference.3250.3501	18	17	14	34	36	45	0.558558558558559	0.212328767123288
GENE05:Io001	-	GENE05:Io001_E1I	31	26	28	6	8	8	GENE05:Io001_IE2	0	0	0	0	0	0	reference.4250.4501	44	51	33	52	61	53	0.249266862170088	0.0621468926553672
GENE05:Io002	-	GENE05:Io002_E1I	0	0	0	0	0	0	GENE05:Io002_IE2	24	34	30	60	45	61	reference.4350.4601	24	33	38	15	11	10	0.316546762589928	0.697478991596639
GENE06:Io001	-	GENE06:Io001_E1I	57	57	53	26	37	41	GENE06:Io001_IE2	0	0	0	0	0	0	reference.5250.5601	9	3	3	20	19	21	0.847715736040609	0.464285714285714
GENE06:Io002	-	GENE06:Io002_E1I	23	25	24	21	31	34	GENE06:Io002_IE2	0	0	0	0	0	0	reference.5350.5601	29	18	30	27	18	15	0.31858407079646	0.41747572815534
GENE07:Io001	-	GENE07:Io001_E1I	20	23	13	11	20	17	GENE07:Io001_IE2	0	0	0	0	0	0	reference.6250.6601	35	25	23	16	15	8	0.252252252252252	0.380952380952381
GENE08:Io001	-	GENE08:Io001_E1I	28	33	35	17	18	21	GENE08:Io001_IE2	15	9	7	15	27	19	reference.7250.7601	20	25	23	15	6	14	0.482889733840304	0.625668449197861
GENE10:Io001	-	GENE10:Io001_E1I	25	18	25	15	18	17	GENE10:Io001_IE2	32	37	30	24	26	17	reference.9250.9451	13	8	16	20	30	19	0.692946058091286	0.458823529411765
GENE07:E002	IR*	GENE07:E002_E1I	20	23	13	11	20	17	GENE07:E002_IE2	20	11	17	18	18	23	reference.6250.6351	32	28	29	35	34	29	0.368794326241135	0.353135313531353
GENE08:E002	IR*	GENE08:E002_E1I	28	33	35	17	18	21	GENE08:E002_IE2	33	23	27	25	9	14	reference.7250.7351	15	12	10	35	41	24	0.707509881422925	0.342105263157895
GENE08:E004	IR*	GENE08:E004_E1I	11	10	10	21	23	29	GENE08:E004_IE2	15	9	7	15	27	19	reference.7450.7601	28	45	33	31	18	28	0.226277372262774	0.465277777777778
GENE10:E002	IR*	GENE10:E002_E1I	25	18	25	15	18	17	GENE10:E002_IE2	19	18	30	15	16	18	reference.9250.9351	19	17	18	10	13	15	0.555555555555556	0.565714285714286
GENE01:E002	IR	GENE01:E002_E1I	30	29	26	31	14	34	GENE01:E002_IE2	29	30	37	23	30	28	reference.300.501	30	24	27	22	31	24	0.527696793002915	0.509554140127389
GENE09:E002	IR	GENE09:E002_E1I	23	30	24	32	38	48	GENE09:E002_IE2	33	34	40	45	48	35	reference.8250.8351	19	18	12	4	8	5	0.652482269503546	0.878571428571429
GENE09:E004	IR	GENE09:E004_E1I	38	38	24	32	26	17	GENE09:E004_IE2	27	29	29	26	21	21	reference.8450.8601	17	20	19	34	32	13	0.622895622895623	0.475083056478405
